mode,split,p_up_entry,p_up_exit,cooldown,trail_pct,n_trades,n_sequential,win_rate,avg_return,total_return,cagr,max_drawdown,sharpe_ann,calmar,exit_trail_stop,exit_model_exit,exit_max_hold
conservative,valid,0.55,0.4,15,0.08,0,,,,,,,,,,,
conservative,test,0.55,0.4,15,0.08,4,4.0,0.25,-0.0095,-0.0378,-0.0853,-0.0455,-1.473,-1.874,0.0,3.0,1.0
conservative,forward,0.55,0.4,15,0.08,5,5.0,0.6,0.0456,0.2156,0.1836,-0.0854,0.755,2.151,3.0,1.0,1.0
balanced,valid,0.52,0.45,10,0.07,3,3.0,0.3333,-0.0472,-0.1378,-0.3207,-0.1378,-2.467,-2.328,3.0,0.0,0.0
balanced,test,0.52,0.45,10,0.07,8,8.0,0.375,0.0156,0.1184,0.1815,-0.0597,0.892,3.04,0.0,7.0,1.0
balanced,forward,0.52,0.45,10,0.07,13,13.0,0.6923,0.0313,0.4457,0.3333,-0.1179,1.311,2.826,5.0,8.0,0.0
aggressive,valid,0.5,0.48,5,0.05,7,7.0,0.4286,-0.0186,-0.1268,-0.2441,-0.1268,-1.905,-1.925,4.0,2.0,1.0
aggressive,test,0.5,0.48,5,0.05,10,10.0,0.5,0.003,0.0205,0.0306,-0.0998,0.244,0.307,1.0,8.0,1.0
aggressive,forward,0.5,0.48,5,0.05,22,22.0,0.4545,0.0109,0.2389,0.1833,-0.155,0.91,1.183,7.0,15.0,0.0
ultra,valid,0.48,0.5,3,0.04,10,10.0,0.3,-0.0242,-0.2197,-0.4023,-0.2197,-4.505,-1.832,6.0,4.0,0.0
ultra,test,0.48,0.5,3,0.04,23,23.0,0.5652,0.0028,0.0594,0.0751,-0.0768,0.653,0.978,1.0,21.0,1.0
ultra,forward,0.48,0.5,3,0.04,48,48.0,0.4583,-0.0047,-0.2231,-0.1816,-0.3399,-0.85,-0.534,12.0,36.0,0.0
