feature,n_selected,frequency
silver_rvol_60,70,1.0
platinum_vol_z,70,1.0
palladium_rvol_60,70,1.0
gold_rvol_60,70,1.0
platinum_rvol_60,70,1.0
corr_silver_gold_90,70,1.0
palladium_vol_z,70,1.0
copper_rvol_60,68,0.9714285714285714
silver_rvol_20,68,0.9714285714285714
gold_rvol_20,67,0.9571428571428572
corr_silver_copper_90,66,0.9428571428571428
silver_dist_ma200,64,0.9142857142857143
ratio_gold_silver,58,0.8285714285714286
metals_composite,54,0.7714285714285715
platinum_rvol_20,52,0.7428571428571429
ratio_silver_palladium,51,0.7285714285714285
ratio_gold_silver_z,51,0.7285714285714285
silver_vol_z,43,0.6142857142857143
ratio_platinum_palladium_z,39,0.5571428571428572
palladium_atr_pct,39,0.5571428571428572
ratio_gold_platinum,37,0.5285714285714286
copper_dist_ma200,36,0.5142857142857142
palladium_rvol_20,36,0.5142857142857142
silver_pos_252,34,0.4857142857142857
gold_dist_ma200,34,0.4857142857142857
silver_atr_pct,32,0.45714285714285713
silver_atr_14,32,0.45714285714285713
ratio_platinum_palladium,29,0.4142857142857143
ratio_silver_copper,23,0.32857142857142857
platinum_dist_ma200,21,0.3
platinum_atr_pct,20,0.2857142857142857
ratio_silver_copper_z,17,0.24285714285714285
platinum_ret_20,17,0.24285714285714285
copper_rvol_20,16,0.22857142857142856
silver_dist_ma50,16,0.22857142857142856
gold_atr_pct,14,0.2
palladium_pos_252,13,0.18571428571428572
gold_adx_14,12,0.17142857142857143
gold_dist_ma50,10,0.14285714285714285
platinum_adx_14,10,0.14285714285714285
copper_atr_pct,9,0.12857142857142856
platinum_pos_252,8,0.11428571428571428
copper_pos_252,8,0.11428571428571428
platinum_dist_ma50,7,0.1
gold_vol_z,6,0.08571428571428572
gold_ret_5,6,0.08571428571428572
metals_composite_ret_20,6,0.08571428571428572
ratio_gold_platinum_z,6,0.08571428571428572
palladium_dist_ma200,5,0.07142857142857142
copper_adx_14,4,0.05714285714285714
platinum_atr_14,4,0.05714285714285714
palladium_ret_5,2,0.02857142857142857
palladium_rsi_14,2,0.02857142857142857
palladium_adx_14,2,0.02857142857142857
gold_pos_252,2,0.02857142857142857
silver_ret_20,1,0.014285714285714285
gold_atr_14,1,0.014285714285714285
palladium_dist_ma50,1,0.014285714285714285
gold_ret_20,1,0.014285714285714285
silver_logret,0,0.0
gold_logret,0,0.0
gold_ret_1,0,0.0
silver_rsi_14,0,0.0
silver_adx_14,0,0.0
silver_ret_5,0,0.0
silver_ret_1,0,0.0
gold_rsi_14,0,0.0
platinum_ret_5,0,0.0
palladium_atr_14,0,0.0
palladium_ret_20,0,0.0
palladium_logret,0,0.0
palladium_ret_1,0,0.0
platinum_rsi_14,0,0.0
platinum_logret,0,0.0
platinum_ret_1,0,0.0
copper_ret_20,0,0.0
copper_rsi_14,0,0.0
copper_atr_14,0,0.0
copper_dist_ma50,0,0.0
copper_logret,0,0.0
copper_ret_1,0,0.0
copper_ret_5,0,0.0
copper_vol_z,0,0.0
ratio_silver_palladium_z,0,0.0
