entry_threshold,cooldown_days,n_trades,total_return,annual_return,sharpe,max_dd,win_rate,profit_factor
0.4,10,11,0.1549,0.1151,0.95,-0.0901,0.818,2.389
0.4,15,10,0.0483,0.0363,0.334,-0.1228,0.6,1.41
0.4,20,8,0.3402,0.2478,2.684,-0.0216,0.75,14.252
0.4,25,7,0.2232,0.1628,2.514,-0.0015,0.857,138.197
0.4,30,6,0.2044,0.1633,2.363,-0.0015,0.833,128.373
0.42,10,11,0.1462,0.1087,0.9,-0.0915,0.727,2.304
0.42,15,10,0.1124,0.0839,0.84,-0.0692,0.6,2.246
0.42,20,8,0.3402,0.2478,2.684,-0.0216,0.75,14.252
0.42,25,7,0.1832,0.1342,1.957,-0.0015,0.714,58.492
0.42,30,6,0.2044,0.1633,2.363,-0.0015,0.833,128.373
0.44,10,10,0.1353,0.1008,0.841,-0.0915,0.7,2.219
0.44,15,10,0.1124,0.0839,0.84,-0.0692,0.6,2.246
0.44,20,8,0.3402,0.2478,2.684,-0.0216,0.75,14.252
0.44,25,6,0.1835,0.1469,2.173,-0.0015,0.833,116.322
0.44,30,6,0.2044,0.1633,2.363,-0.0015,0.833,128.373
0.46,10,10,0.1353,0.1008,0.841,-0.0915,0.7,2.219
0.46,15,10,0.1173,0.0875,0.878,-0.0651,0.6,2.359
0.46,20,8,0.3402,0.2478,2.684,-0.0216,0.75,14.252
0.46,25,6,0.1835,0.1469,2.173,-0.0015,0.833,116.322
0.46,30,6,0.2084,0.1665,2.437,-0.0015,0.833,130.605
0.48,10,10,0.1353,0.1008,0.841,-0.0915,0.7,2.219
0.48,15,9,0.1232,0.0918,0.928,-0.0601,0.667,2.511
0.48,20,8,0.3402,0.2478,2.684,-0.0216,0.75,14.252
0.48,25,6,0.1835,0.1469,2.173,-0.0015,0.833,116.322
0.48,30,6,0.2084,0.1665,2.437,-0.0015,0.833,130.605
0.5,10,10,0.1633,0.1212,1.017,-0.0915,0.8,2.769
0.5,15,9,0.1651,0.1225,1.256,-0.0601,0.778,3.661
0.5,20,8,0.3382,0.2465,3.281,-0.0013,0.875,237.047
0.5,25,6,0.1835,0.1469,2.173,-0.0015,0.833,116.322
0.5,30,6,0.2084,0.1665,2.437,-0.0015,0.833,130.605
0.55,10,10,0.1632,0.1211,1.023,-0.0901,0.9,2.796
0.55,15,8,0.1621,0.1261,1.291,-0.0587,0.875,3.683
0.55,20,7,0.318,0.244,3.459,-0.0013,0.857,224.822
0.55,25,6,0.2461,0.19,2.8,0.0,1.0,inf
0.55,30,5,0.0443,0.0349,0.359,-0.0893,0.8,1.581
