direction,signal_date,entry_date,exit_date,entry_price,exit_price,peak_price,trail_stop,atr_at_entry,atr_k,trail_pct_eq,gross_return,net_return,hold_days,exit_reason,p_signal,tb_label_bin,trough_price,tb_label_down
LONG,2025-01-17,2025-01-17,2025-02-25,30.951,31.801,34.08,31.809,0.5678,4.0,0.0734,0.027463,0.026963,27,trail_stop,0.6379,1.0,,
LONG,2025-02-10,2025-02-10,2025-02-25,32.392,31.801,34.08,31.915,0.5412,4.0,0.0668,-0.018245,-0.018745,11,trail_stop,0.7023,1.0,,
LONG,2025-03-04,2025-03-04,2025-04-03,32.108,31.844,35.265,32.566,0.6748,4.0,0.0841,-0.008222,-0.008722,22,trail_stop,0.7023,1.0,,
LONG,2025-03-26,2025-03-26,2025-04-03,34.033,31.844,35.265,33.167,0.5246,4.0,0.0617,-0.06432,-0.06482,6,trail_stop,0.7547,0.0,,
SHORT,2025-04-11,2025-04-11,2025-05-26,31.824,33.442,,35.091,1.1352,3.0,0.107,-0.048382,-0.048882,30,max_hold,0.6127,,31.685,0.0
LONG,2025-04-23,2025-04-23,2025-06-25,33.518,36.085,37.255,34.275,0.7451,4.0,0.0889,0.076586,0.076086,45,max_hold,0.6805,0.0,,
LONG,2025-05-21,2025-05-21,2025-07-23,33.463,39.278,39.41,36.811,0.6496,4.0,0.0777,0.173774,0.173274,45,max_hold,0.6616,1.0,,
LONG,2025-06-12,2025-06-12,2025-07-30,36.213,37.019,39.41,37.019,0.5978,4.0,0.066,0.022249,0.021749,34,trail_stop,0.6805,0.0,,
LONG,2025-07-04,2025-07-04,2025-07-30,36.775,37.355,39.41,37.355,0.5138,4.0,0.0559,0.015761,0.015261,18,trail_stop,0.7023,1.0,,
LONG,2025-07-28,2025-07-28,2025-09-29,38.026,46.612,46.875,44.662,0.5532,4.0,0.0582,0.225793,0.225293,45,max_hold,0.6805,0.0,,
LONG,2025-08-21,2025-08-21,2025-10-02,38.027,45.71,47.51,45.71,0.4499,4.0,0.0473,0.202047,0.201547,30,trail_stop,0.7023,1.0,,
LONG,2025-09-15,2025-09-15,2025-10-09,42.517,46.85,49.49,46.963,0.6317,4.0,0.0594,0.101912,0.101412,18,trail_stop,0.6921,1.0,,
LONG,2025-10-07,2025-10-07,2025-10-21,47.179,47.45,53.34,49.186,1.0385,4.0,0.088,0.005744,0.005244,10,trail_stop,0.6348,1.0,,
LONG,2025-10-29,2025-10-29,2025-12-29,47.721,69.856,79.7,73.178,1.6304,4.0,0.1367,0.463842,0.463342,42,trail_stop,0.5951,1.0,,
LONG,2025-11-20,2025-11-20,2025-12-29,50.247,69.856,79.7,74.129,1.3928,4.0,0.1109,0.390252,0.389752,26,trail_stop,0.5722,0.0,,
LONG,2026-01-02,2026-01-02,2026-01-30,70.556,78.29,121.3,103.317,4.4957,4.0,0.2549,0.109615,0.109115,20,trail_stop,0.5743,1.0,,
LONG,2026-01-30,2026-01-30,2026-04-03,78.29,72.735,95.86,44.476,12.846,4.0,0.6563,-0.070954,-0.071454,45,max_hold,0.5487,0.0,,
LONG,2026-03-06,2026-03-06,2026-03-19,83.816,67.627,89.59,67.627,5.4908,4.0,0.262,-0.193153,-0.193653,9,trail_stop,0.5408,0.0,,
LONG,2026-05-06,2026-05-06,2026-05-15,76.811,77.161,88.888,77.641,2.8118,4.0,0.1464,0.004557,0.004057,7,trail_stop,0.712,1.0,,
