variant,split,true_bnh_compound,v22_bnh_in_summary,split_start,split_end
v22_base,valid,-0.0004,,2023-01-02,2023-12-29
v22_base,test,0.2133,,2024-01-01,2024-12-31
v22_base,forward,1.8739,,2025-01-02,2026-05-12
v22_atr,valid,-0.0004,,2023-01-02,2023-12-29
v22_atr,test,0.2133,,2024-01-01,2024-12-31
v22_atr,forward,1.8739,,2025-01-02,2026-05-12
v22_kelly,valid,-0.0004,,2023-01-02,2023-12-29
v22_kelly,test,0.2133,,2024-01-01,2024-12-31
v22_kelly,forward,1.8739,,2025-01-02,2026-05-12
v22_mh,valid,-0.0004,,2023-01-02,2023-12-29
v22_mh,test,0.2133,,2024-01-01,2024-12-31
v22_mh,forward,1.8739,,2025-01-02,2026-05-12
v22_wf,valid,-0.0004,,2023-01-02,2023-12-29
v22_wf,test,0.2133,,2024-01-01,2024-12-31
v22_wf,forward,1.8739,,2025-01-02,2026-05-12
v22_all,valid,-0.0004,,2023-01-02,2023-12-29
v22_all,test,0.2133,,2024-01-01,2024-12-31
v22_all,forward,1.8739,,2025-01-02,2026-05-12
