variant,split,n_obs,tr_lower,tr_median,tr_upper,shr_lower,shr_median,shr_upper,mdd_lower,mdd_median,mdd_upper
v22_base,valid,13,-0.4559,-0.2774,-0.0589,-6.597,-2.379,-0.359,-0.4442,-0.285,-0.1106
v22_base,test,13,-0.3357,-0.0359,0.4301,-2.142,-0.017,1.816,-0.3551,-0.194,-0.099
v22_base,forward,17,-0.0067,1.7529,6.5856,0.164,1.887,3.722,-0.364,-0.227,-0.0121
v22_atr,valid,15,-0.298,-0.0872,0.1954,-2.234,-0.346,0.913,-0.3167,-0.1692,-0.0955
v22_atr,test,14,-0.2805,0.1221,0.7664,-1.725,0.631,2.624,-0.3434,-0.2085,-0.0837
v22_atr,forward,13,0.5989,1.2667,2.0488,2.101,4.066,9.598,-0.1542,-0.0987,0.0
v22_kelly,valid,15,-0.298,-0.0872,0.1954,-2.234,-0.346,0.913,-0.3167,-0.1692,-0.0955
v22_kelly,test,14,-0.2805,0.1221,0.7664,-1.725,0.631,2.624,-0.3434,-0.2085,-0.0837
v22_kelly,forward,13,0.5989,1.2667,2.0488,2.101,4.066,9.598,-0.1542,-0.0987,0.0
v22_mh,valid,15,-0.3958,-0.2437,-0.05,-4.357,-1.569,-0.146,-0.3938,-0.2567,-0.135
v22_mh,test,16,-0.4061,-0.0598,0.5114,-2.203,-0.052,1.358,-0.419,-0.2518,-0.137
v22_mh,forward,14,-0.2193,0.32,1.1732,-0.924,1.162,3.155,-0.34,-0.1916,-0.0627
v22_wf,valid,15,-0.298,-0.0872,0.1954,-2.234,-0.346,0.913,-0.3167,-0.1692,-0.0955
v22_wf,test,13,-0.269,-0.0016,0.4088,-2.004,0.131,1.661,-0.3066,-0.1621,-0.0856
v22_wf,forward,13,0.6159,1.1382,1.8254,1.942,3.316,7.229,-0.1514,-0.0973,0.0
v22_all,valid,15,-0.3958,-0.2437,-0.05,-4.357,-1.569,-0.146,-0.3938,-0.2567,-0.135
v22_all,test,15,-0.3449,-0.0127,0.6126,-2.485,0.081,1.851,-0.3878,-0.2175,-0.1176
v22_all,forward,15,0.6676,1.446,2.7643,2.387,3.469,5.085,-0.0777,-0.0669,-0.0113
