variant,split,n_obs,sharpe_per_trade,skew,kurt,psr_vs_zero,dsr_n_trials,dsr
v22_base,valid,13,-0.5404,0.48,1.619,0.041,9,0.0002
v22_base,test,13,-0.0038,0.362,1.501,0.4948,9,0.4889
v22_base,forward,17,0.4901,0.568,2.088,0.9918,9,0.4282
v22_atr,valid,15,-0.0844,0.717,2.274,0.3794,9,0.262
v22_atr,test,14,0.1488,0.319,1.945,0.7094,9,0.4834
v22_atr,forward,13,0.9235,-0.336,3.354,0.9967,9,0.4189
v22_kelly,valid,15,-0.0844,0.717,2.274,0.3794,9,0.262
v22_kelly,test,14,0.1488,0.319,1.945,0.7094,9,0.4834
v22_kelly,forward,13,0.9235,-0.336,3.354,0.9967,9,0.4189
v22_mh,valid,15,-0.3829,1.079,3.596,0.1159,9,0.0065
v22_mh,test,16,-0.013,0.546,1.594,0.48,9,0.4585
v22_mh,forward,14,0.274,0.5,2.517,0.8574,9,0.4679
v22_wf,valid,15,-0.0844,0.717,2.274,0.3794,9,0.262
v22_wf,test,13,0.0296,0.601,2.109,0.5413,9,0.4969
v22_wf,forward,13,0.7531,-0.087,2.721,0.995,9,0.4231
v22_all,valid,15,-0.3829,1.079,3.596,0.1159,9,0.0065
v22_all,test,15,0.0198,0.601,1.839,0.5297,9,0.4977
v22_all,forward,15,0.8287,0.633,2.465,1.0,9,0.353
