variant,split,total_return,cagr,max_drawdown,sharpe,sortino,calmar,ulcer,time_underwater
v22_base,valid,-0.2774034897957224,-0.28016217851513014,-0.3074624715230403,-1.9599379078954169,-3.5459000178007454,-0.9112077227745033,0.1999578473071756,0.9285714285714286
v22_base,test,-0.035926342438255876,-0.03595050180755033,-0.19316674246251486,-0.013674782713183125,-0.02886012977513888,-0.1861112391773482,0.12061627499019102,0.7142857142857143
v22_base,forward,1.7528848337716574,1.1111071090838762,-0.22698049601203385,1.7357324547073227,6.452443085443359,4.895165569754366,0.11397221061996825,0.5
v22_atr,valid,-0.08716025734808053,-0.08813977869745704,-0.1670233794547118,-0.32896984929902523,-0.9636899446523137,-0.5277092284038957,0.10095864896344992,0.8125
v22_atr,test,0.12206338579567255,0.12215190110438878,-0.20850480518876136,0.5570672673405956,1.2133580013051941,0.5858469352483436,0.10766886846618508,0.7333333333333333
v22_atr,forward,1.2666872530587572,0.829093577271478,-0.09874854024135571,2.860289007304919,,8.396008439669624,0.031397168226190514,0.21428571428571427
v22_kelly,valid,-0.08716025734808053,-0.08813977869745704,-0.1670233794547118,-0.32896984929902523,-0.9636899446523137,-0.5277092284038957,0.10095864896344992,0.8125
v22_kelly,test,0.12206338579567255,0.12215190110438878,-0.20850480518876136,0.5570672673405956,1.2133580013051941,0.5858469352483436,0.10766886846618508,0.7333333333333333
v22_kelly,forward,1.2666872530587572,0.829093577271478,-0.09874854024135571,2.860289007304919,,8.396008439669624,0.031397168226190514,0.21428571428571427
v22_mh,valid,-0.2437325851835629,-0.2462157625561695,-0.25069993348750963,-1.4917168206022466,-3.4519533020742794,-0.9821133940126732,0.17054475857898294,0.875
v22_mh,test,-0.059810861512604396,-0.05985057671828253,-0.2083247354633112,-0.05203939738213807,-0.2625041868238526,-0.28729462483259954,0.11835771322388912,0.7647058823529411
v22_mh,forward,0.3199605890723207,0.2273244279991593,-0.21664510733522413,0.880520932480327,2.234637499957408,1.049294077282856,0.09545440784120705,0.6
v22_wf,valid,-0.08716025734808053,-0.08813977869745704,-0.1670233794547118,-0.32896984929902523,-0.9636899446523137,-0.5277092284038957,0.10095864896344992,0.8125
v22_wf,test,-0.0016275262329366047,-0.0016286400686803537,-0.12925383009847435,0.10693997733665216,0.41580923497730893,-0.012600323467703393,0.06956733961558786,0.8571428571428571
v22_wf,forward,1.1381980337221722,0.7520050895662509,-0.09725324096098342,2.3324242591664777,7.43240926285389,7.732442457809137,0.030532836465089253,0.14285714285714285
v22_all,valid,-0.2437325851835629,-0.2462157625561695,-0.25069993348750963,-1.4917168206022466,-3.4519533020742794,-0.9821133940126732,0.17054475857898294,0.875
v22_all,test,-0.012691125559195937,-0.012699762679200477,-0.21747898880993943,0.07676066572448445,0.21497477498544731,-0.05839535464411751,0.12108759675653025,0.8125
v22_all,forward,1.4460395609463577,0.9348128336102335,-0.06692812904714707,2.757148847894054,15.813910089452545,13.967413207557481,0.01866238422771865,0.25
