variant,split,n_trades,v22_cost_total,v23_cost_total,cost_increase,median_atr_pct
v22_base,valid,34,0.034,0.192,0.158,0.00534
v22_base,test,34,0.034,0.2091,0.1751,0.00572
v22_base,forward,45,0.045,0.4297,0.3847,0.00782
v22_atr,valid,34,0.034,0.1863,0.1523,0.00515
v22_atr,test,34,0.034,0.2071,0.1731,0.0058
v22_atr,forward,45,0.045,0.431,0.386,0.00719
v22_kelly,valid,34,0.034,0.1863,0.1523,0.00515
v22_kelly,test,34,0.034,0.2071,0.1731,0.0058
v22_kelly,forward,45,0.045,0.431,0.386,0.00719
v22_mh,valid,37,0.037,0.2117,0.1747,0.00535
v22_mh,test,36,0.036,0.2209,0.1849,0.00592
v22_mh,forward,47,0.047,0.4027,0.3557,0.00734
v22_wf,valid,34,0.034,0.1863,0.1523,0.00515
v22_wf,test,35,0.035,0.2111,0.1761,0.00592
v22_wf,forward,46,0.046,0.4075,0.3615,0.00719
v22_all,valid,37,0.037,0.2117,0.1747,0.00535
v22_all,test,37,0.037,0.2218,0.1848,0.00578
v22_all,forward,53,0.053,0.4814,0.4284,0.00704
