direction,signal_date,entry_date,exit_date,entry_price,exit_price,peak_price,trough_price,trail_stop,gross_return,net_return,hold_days,exit_reason,tb_label_bin,tb_label_down,realistic_cost,is_illiquid,net_return_v22
LONG,2025-01-27,2025-01-27,2025-02-28,30.254,31.219,34.08,,31.354,0.031897,0.0267078718825468,24,trail_stop,1.0,,0.005189128117453203,False,0.031397
LONG,2025-02-25,2025-02-25,2025-04-03,31.801,31.844,35.265,,32.444,0.001352,-0.0047389502799455125,27,trail_stop,1.0,,0.0060909502799455124,False,0.000852
LONG,2025-03-07,2025-03-07,2025-04-03,32.548,31.844,35.265,,32.444,-0.02163,-0.027748196027524805,19,trail_stop,1.0,,0.006118196027524803,False,-0.02213
LONG,2025-04-04,2025-04-04,2025-06-09,29.116,36.688,36.688,,33.753,0.260063,0.2509582787832691,45,max_hold,1.0,,0.009104721216730876,True,0.259563
LONG,2025-04-23,2025-04-23,2025-06-25,33.518,36.085,37.255,,34.275,0.076586,0.06973387236551143,45,max_hold,0.0,,0.006852127634488567,True,0.076086
LONG,2025-05-05,2025-05-05,2025-07-07,32.205,36.615,37.255,,34.275,0.136935,0.13201641784818818,45,max_hold,1.0,,0.004918582151811822,False,0.136435
LONG,2025-05-21,2025-05-21,2025-07-23,33.463,39.278,39.41,,36.257,0.173774,0.1691226107971036,45,max_hold,1.0,,0.004651389202896399,False,0.173274
LONG,2025-06-02,2025-06-02,2025-08-04,34.563,37.192,39.41,,36.257,0.076064,0.071037781685037,45,max_hold,1.0,,0.005026218314963016,False,0.075564
LONG,2025-06-27,2025-06-27,2025-08-29,36.037,40.2,40.305,,37.081,0.11552,0.11126322524007873,45,max_hold,1.0,,0.004256774759921275,False,0.11502
LONG,2025-07-10,2025-07-10,2025-09-11,37.038,41.697,41.78,,38.438,0.12579,0.1214029642385652,45,max_hold,1.0,,0.004387035761434815,False,0.12529
LONG,2025-07-28,2025-07-28,2025-09-29,38.026,46.612,46.875,,43.125,0.225793,0.22127818465302604,45,max_hold,0.0,,0.004514815346973942,False,0.225293
LONG,2025-08-11,2025-08-11,2025-10-13,37.662,50.13,50.495,,46.455,0.33105,0.3230541653292576,45,max_hold,1.0,,0.00799583467074239,True,0.33055
LONG,2025-08-21,2025-08-21,2025-10-21,38.027,47.45,53.34,,49.073,0.247798,0.23866084888592798,43,trail_stop,1.0,,0.009137151114072019,True,0.247298
LONG,2025-09-03,2025-09-03,2025-10-21,41.542,47.45,53.34,,49.073,0.142218,0.13447544561794517,34,trail_stop,1.0,,0.007742554382054847,False,0.141718
LONG,2025-09-18,2025-09-18,2025-10-21,41.707,47.45,53.34,,49.073,0.137699,0.13045936117235415,23,trail_stop,1.0,,0.007239638827645845,False,0.137199
LONG,2025-10-10,2025-10-10,2025-10-21,46.938,47.45,53.34,,49.073,0.010908,0.00211135124223045,7,trail_stop,1.0,,0.00879664875776955,False,0.010408
LONG,2025-10-22,2025-10-22,2025-11-17,47.461,49.864,54.2,,49.864,0.050631,0.04212155430936271,18,trail_stop,1.0,,0.008509445690637298,False,0.050131
LONG,2025-11-03,2025-11-03,2025-11-17,47.888,49.864,54.2,,49.864,0.041263,0.032244338026277644,10,trail_stop,1.0,,0.009018661973722353,True,0.040763
LONG,2025-11-18,2025-11-18,2025-12-29,50.45,69.856,79.7,,73.324,0.384658,0.3750430018634923,28,trail_stop,0.0,,0.009614998136507662,False,0.384158
LONG,2026-02-05,2026-02-05,2026-02-06,76.529,71.134,77.32,,71.134,-0.070491,-0.1038820516795049,1,trail_stop,0.0,,0.03339105167950491,False,-0.070991
LONG,2026-03-17,2026-03-17,2026-03-19,79.53,70.902,79.53,,73.168,-0.108487,-0.12301114619857988,2,trail_stop,0.0,,0.014524146198579873,False,-0.108987
LONG,2026-03-27,2026-03-27,2026-04-23,69.545,75.465,82.83,,76.204,0.085125,0.07366894888641182,19,trail_stop,1.0,,0.011456051113588196,False,0.084625
LONG,2026-04-08,2026-04-08,2026-04-23,75.224,75.465,82.83,,76.204,0.003204,-0.008956234785260747,11,trail_stop,1.0,,0.012160234785260748,True,0.002704
LONG,2026-04-27,2026-04-27,2026-05-15,75.003,77.547,88.888,,81.777,0.033919,0.0220617266735755,14,trail_stop,0.0,,0.011857273326424497,True,0.033419
