,silver_equity,gold_equity,total_equity,drawdown
2025-01-01,0.5,0.5,1.0,0.0
2025-02-12,0.5,0.5073411641919068,1.0073411641919068,0.0
2025-02-28,0.5006395614037314,0.5073411641919068,1.0079807255956381,0.0
2025-03-24,0.5006395614037314,0.526045113250024,1.0266846746537555,0.0
2025-04-03,0.4982670554140654,0.526045113250024,1.0243121686640895,-0.002310841924728302
2025-04-23,0.4982670554140654,0.5558191275406087,1.0540861829546742,0.0
2025-05-15,0.4982670554140654,0.529840240567564,1.0281072959816293,-0.02464588512129462
2025-06-26,0.5421594066750934,0.529840240567564,1.0719996472426574,0.0
2025-07-31,0.5928089379151058,0.529840240567564,1.1226491784826698,0.0
2025-09-01,0.6619498146013393,0.529840240567564,1.1917900551689034,0.0
2025-09-10,0.6619498146013393,0.5747134728402398,1.236663287441579,0.0
2025-10-07,0.6619498146013393,0.5866646783533789,1.2486144929547183,0.0
2025-10-14,0.8732448989765913,0.5866646783533789,1.4599095773299702,0.0
2025-10-21,0.9892521287540686,0.5866646783533789,1.5759168071074474,0.0
2025-11-17,1.0211499087868294,0.5866646783533789,1.6078145871402083,0.0
2025-12-09,1.0211499087868294,0.612335089084615,1.6334849978714443,0.0
2026-01-20,1.0211499087868294,0.67112324710697,1.6922731558937993,0.0
2026-02-06,1.0211499087868294,0.6707468375701474,1.691896746356977,-0.00022242835650465587
2026-03-18,1.0211499087868294,0.6260483903550379,1.6471982991418672,-0.026635686204054432
2026-03-23,0.9339699677542859,0.6260483903550379,1.5600183581093239,-0.07815215724711011
2026-05-12,1.1029689835408683,0.6260483903550379,1.729017373895906,0.0
