direction,entry_date,exit_date,entry_price,exit_price,peak_price,gross_return,net_return,hold_days,exit_reason,realistic_cost,is_illiquid,net_return_v22,wf_year
LONG,2021-01-01,2021-01-08,26.332,24.582,27.571,-0.066459,-0.07258781882380318,5,trail_stop,0.006128818823803167,False,-0.066959,2021
LONG,2021-01-26,2021-01-27,25.529,25.376,25.529,-0.005993,-0.010166314899017752,1,model_exit,0.004173314899017752,False,-0.006493,2021
LONG,2021-04-05,2021-04-06,24.763,25.212,25.215,0.018132,0.010933171790432041,1,model_exit,0.007198828209567957,True,0.017632,2021
LONG,2021-04-27,2021-04-30,26.412,25.853,26.545,-0.021165,-0.0270964601452188,3,model_exit,0.005931460145218801,True,-0.021665,2021
LONG,2021-05-19,2021-06-17,28.008,25.844,28.58,-0.077264,-0.08475377308633879,21,trail_stop,0.007489773086338794,True,-0.077764,2021
LONG,2021-06-29,2021-07-14,25.872,26.246,26.87,0.014456,0.010365530768007603,11,model_exit,0.004090469231992397,False,0.013956,2021
LONG,2021-07-21,2021-08-09,25.238,23.255,25.97,-0.078572,-0.08375828757847303,13,trail_stop,0.005186287578473036,False,-0.079072,2021
LONG,2021-08-31,2021-09-01,23.96,24.177,24.255,0.009057,0.00499789706679112,1,model_exit,0.004059102933208881,False,0.008557,2021
LONG,2021-09-29,2021-10-13,21.459,23.149,23.149,0.078755,0.07301234675885682,10,model_exit,0.005742653241143196,False,0.078255,2021
LONG,2021-10-21,2021-11-02,24.15,23.5,24.575,-0.026915,-0.031140440428752303,8,model_exit,0.004225440428752302,False,-0.027415,2021
LONG,2021-11-12,2021-11-24,25.344,23.496,25.344,-0.072917,-0.07741940533784253,8,model_exit,0.004502405337842532,False,-0.073417,2021
LONG,2021-12-06,2021-12-09,22.228,21.974,22.56,-0.011427,-0.016377414440775544,3,model_exit,0.004950414440775545,False,-0.011927,2021
LONG,2021-12-28,2021-12-29,23.111,22.848,23.111,-0.01138,-0.015664698313192317,1,model_exit,0.004284698313192316,False,-0.01188,2021
